id;state;payment_method;estimated_preparation_time;estimated_delivery_time;preparation_time;delivery_time
1;PENDINGPREPARATION;BITCOIN;2020-03-31T16:59:40;2020-04-01T09:33:32;2020-04-01T13:58:44;2020-04-01T11:45:05
2;PENDINGDELIVERER;IZLY;2020-03-31T18:07:50;2020-04-01T06:49:37;2020-04-01T07:05:15;2020-03-31T17:00:56
3;PENDINGDELIVERER;BITCOIN;2020-04-01T01:24:56;2020-04-01T11:11:11;2020-03-31T20:28:04;2020-04-01T10:18:40
4;PENDINGDELIVERER;BITCOIN;2020-04-01T09:29:36;2020-04-01T16:17:19;2020-04-01T03:16:09;2020-04-01T11:05:58
5;PENDINGDELIVERER;IZLY;2020-04-01T13:51:16;2020-04-01T14:27:44;2020-03-31T19:48:17;2020-04-01T13:56:51
6;PENDINGPREPARATION;CB;2020-04-01T09:55:59;2020-04-01T07:27:42;2020-03-31T23:43:07;2020-04-01T14:34:22
7;PENDINGDELIVERER;PAYPAL;2020-04-01T08:25:33;2020-04-01T00:24:57;2020-04-01T14:26:05;2020-04-01T16:33:06
8;COMPLETED;PAYPAL;2020-03-31T22:38:31;2020-04-01T03:22:50;2020-04-01T14:13:20;2020-04-01T08:18:41
9;INPROGRESS;PAYPAL;2020-04-01T15:34:48;2020-04-01T12:07:39;2020-04-01T14:55:14;2020-04-01T08:39:03
10;PENDINGPREPARATION;BITCOIN;2020-03-31T20:13:40;2020-04-01T09:51:44;2020-04-01T01:12:33;2020-03-31T22:15:21
