id;product_id;name;description;price;disponibility
1;23324;Checking Account;Gambia Assistant;74211;UNAVAILABLE
2;76190;wireless Chilean Peso Unidades de fomento;reboot;76808;AVAILABLE
3;6602;deposit Division Rustic Steel Soap;withdrawal navigating Metical;43291;UNAVAILABLE
4;46442;transmitting intermediate withdrawal;green Credit Card Account;51217;AVAILABLE
5;16516;Australian Dollar;BikeX;6446;AVAILABLE
6;30106;Practical Data Identity;Dynamic auxiliary;85535;AVAILABLE
7;54741;solutions;homogeneous withdrawal;14557;AVAILABLE
8;16073;Tunnel;Ergonomic Concrete Ball SMS;62192;UNAVAILABLE
9;83666;Cheese rich multi-byte;Underpass virtual open-source;82676;UNAVAILABLE
10;4074;mobile Practical;User-friendly lavender wireless;77577;UNAVAILABLE
