id;restaurant_id;name;description
1;19018;Avon;Riel Plastic primary
2;11205;Auto Loan Account Tunisian Dinar;connect redundantXXX
3;11921;B2B Spring;invoice DynamicXXXXX
4;9502;Avon Regional synthesizing;Investment Account Marketing Keyboard
5;95201;Automotive SMTP;Licensed Granite Computer redundant
6;60956;Awesome Re-contextualized Djibouti;navigate Specialist Tasty Granite Ball
7;28394;Delaware application copying;Holy See (Vatican City State) transitional invoice
8;19626;Niue Computer;Shoes AssistantXXXXX
9;76593;white Garden quantify;Arizona Maryland hacking
10;58479;Reduced Avon navigating;Licensed Concrete Chips wireless
